Job_Title,Company,Job_Type,Job_place,City,Country,Days
Head of Risk,myZoi |  Financial Inclusion Technologies -,Full Time,Unknown,Dubai,United Arab Emirates,Unknown
Product Manager - Industrial Sector Lead,Canonical -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
Business Development Officer,Timesworld -,Full Time,Unknown,Dubai,United Arab Emirates,Unknown
UX Designer - Design systems,Canonical -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
Technical Sales Manager,Crayon -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
"Full Stack Developer, Trilogy (Remote) - $60,000/year USD",Trilogy -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
Trainee,Space42 -,Freelance / Project,Unknown,Dubai,United Arab Emirates,Unknown
Product Manager - Desktop,Canonical -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
BIM Director - Digital Project Delivery,AECOM -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
UX Designer - Developer experience,Canonical -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
"Assurance - External Audit Manager (Financial Services) - Riyadh, KSA",PwC Middle East -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
Product Designer,Rapyd -,Full Time,Unknown,Dubai,United Arab Emirates,Unknown
"Director, Talent Science",Canonical -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
Business Development Executive - Middle East,Oxford Economics -,Full Time,Unknown,Dubai,United Arab Emirates,Unknown
Assistant manager project development,Net2Source Inc. -,Full Time,Unknown,Dubai,United Arab Emirates,Unknown
Business Development Representative,Canonical -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
Cloud Professional Services Manager,Canonical -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
Business Services Team Manager,Canonical -,Full Time,Unknown,Makkah,Saudi Arabia,Unknown
Senior Talent Acquisition Specialist,Sutherland -,Full Time,Unknown,Cairo,Egypt,Unknown
Sales Specialist,Majid Al Futtaim -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
"EMEA Sales Director, ISV Embedded Solutions",Canonical -,Full Time,Unknown,Makkah,Saudi Arabia,Unknown
Project Technical Delivery Manager,NVIDIA -,Full Time,Unknown,Dubai,United Arab Emirates,Unknown
Head of operation IT,Net2Source Inc. -,Full Time,Unknown,Dubai,United Arab Emirates,Unknown
Head of Regulatory & Compliance,K Line Europe -,Full Time,Unknown,Cairo,Egypt,Unknown
Sales Operations Analyst,Canonical -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
